eventname,name,not_attending,selected_menu,facility_name,facility_type,event date,created_at,days,Workdays,event type,  value  ,  menu_price ,capacity,,,
INTERNATIONAL ICE HOCKEY,2GB,,Menu One,Suite 35,Suite,26/07/2014 18:45,20:29.6,8,6,Live Event,"$1,170.00", $65.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Acer Computers,,Menu Two,Suite 41,Suite,26/07/2014 18:45,33:18.4,12,10,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Allphones Arena,,Menu Two,Suite 13,Suite,26/07/2014 18:45,43:26.5,16,12,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,AllPhones Corp,,Menu Two,Suite 12,Suite,26/07/2014 18:45,49:30.0,10,8,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,American Express,,Menu One,Suite 14,Suite,26/07/2014 18:45,49:56.6,9,7,Live Event,"$1,170.00", $65.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Audi Australia,,Menu One,Suite 18,Suite,26/07/2014 18:45,11:09.0,12,10,Live Event,"$1,170.00", $65.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Austeire,,,Suite 19,Suite,26/07/2014 18:45,10:11.6,9,7,Live Event,$0.00, $-   ,18,,,
INTERNATIONAL ICE HOCKEY,Bank Of Queensland,,Menu Two,Suite 9,Suite,26/07/2014 18:45,30:18.8,10,8,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Bauer Media Group,,Menu Two,Suite 47,Suite,26/07/2014 18:45,57:24.0,11,9,Live Event,$990.00, $55.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Big Picture,,,Suite 25,Suite,26/07/2014 18:45,17:15.6,5,5,Live Event,$0.00, $-   ,18,,,
INTERNATIONAL ICE HOCKEY,Blacktown Workers Club,,,Suite 34,Suite,26/07/2014 18:45,53:10.1,11,9,Live Event,$0.00, $-   ,18,,,
INTERNATIONAL ICE HOCKEY,CABE,,Menu One,Suite 39,Suite,26/07/2014 18:45,52:18.5,17,13,Live Event,"$1,170.00", $65.00 ,18,,,
INTERNATIONAL ICE HOCKEY,Corporate Electrical Group,,,Suite 44,Suite,26/07/2014 18:45,54:19.2,9,7,Live Event,$0.00, $-   ,18,,,
